"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AD-ARTISTS GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"4f6cd771e7ef3c06";"93809";"Thu Jul 16 04:18:17 2020"
"AD-ARTISTS GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.12.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"98023bcfb580197d";"93809";"Thu Jul 16 04:18:17 2020"
"AD-ARTISTS GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"12e4d1eb880a3214";"93809";"Thu Jul 16 04:18:17 2020"
"AD-ARTISTS GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.11.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"ee71a936e24fae39";"93809";"Thu Jul 16 04:18:17 2020"
"Ad-Artists GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2007";"18.09.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"83b6ccefab44e57c";"93809";"Thu Jul 16 04:18:17 2020"
"Ad-Artists GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"26.11.2007";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"870bf061d1d177a6";"93809";"Thu Jul 16 04:18:17 2020"
"ProSiebenSat.1 Media SE Unterföhring";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.05.2018";"35%";"aba51bcc9fdd59516710d900a8a5ca24";"4ad5b6d0a8e04898";"93809";"Thu Jul 16 04:18:17 2020"
"7Life GmbH, Unterföhring; 7Screen GmbH, Unterföhring; 7Wellbeing GmbH, Unterföhring; Glomex GmbH, München; MAGIC Internet Holding GmbH, Berlin; maxdome GmbH, Unterföhring; NCG Commerce GmbH, Unterföhring; P7S1 SBS Holding GmbH, Unterföhring; ProSiebenSat.1 Accelerator GmbH, Unterföhring; ProSiebenSat.1 Achte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Adjacent Holding GmbH, Unterföhring; ProSiebenSat.1 Advertising Platform Solutions GmbH, Unterföhring; ProSiebenSat.1 Applications GmbH, Unterföhring; ProSiebenSat.1 Broadcasting GmbH, Unterföhring; ProSiebenSat.1 Digital & Adjacent GmbH, Unterföhring; ProSiebenSat.1 Digital Entertainment GmbH, Unterföhring; ProSiebenSat.1 Digital GmbH, Unterföhring; ProSiebenSat.1 Einundzwanzigste Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Erste Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Fünfzehnte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Licensing GmbH, Unterföhring; ProSiebenSat.1 Neunzehnte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Pay TV GmbH, Unterföhring; ProSiebenSat.1 Produktion GmbH, Unterföhring; ProSiebenSat.1 Welt GmbH, Unterföhring; ProSiebenSat.1 Zwanzigste Verwaltungsgesellschaft mbH, Unterföhring; ProSieben Travel GmbH, Unterföhring; Red Arrow Studios GmbH, Unterföhring; Red Arrow Studios International GmbH, Unterföhring; RedSeven Entertainment GmbH, Unterföhring; SAM - Starwatch Artist Management GmbH, Unterföhring; Sat. 1 Norddeutschland GmbH, Hannover; SAT.1 Satelliten Fernsehen GmbH, Unterföhring; SevenOne AdFactory GmbH, Unterföhring; SevenOne Brands GmbH, Unterföhring; SevenOne Capital (Holding) GmbH, Unterföhring; SevenOne Investment (Holding) GmbH, Unterföhring; SevenOne Media GmbH, Unterföhring; SevenPictures Film GmbH, Unterföhring; Seven Scores Musikverlag GmbH, Unterföhring; SevenVentures GmbH, Unterföhring; Starwatch Entertainment GmbH, Unterföhring; TROPO GmbH, Hamburg; tv weiss-blau Rundfunkprogrammanbieter GmbH, Unterföhring; wer-weiss-was GmbH, Unterföhring; wetter.com GmbH, Konstanz";"Thu Jul 16 04:18:17 2020";"";"";"";"";"";"";""
"ProSiebenSat.1 Media SE Unterföhring";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.05.2017";"35%";"aba51bcc9fdd59516710d900a8a5ca24";"a93d385cb82e0af0";"93809";"Thu Jul 16 04:18:17 2020"
"7Life GmbH, Unterföhring; 7Screen GmbH, Unterföhring; 7Wellbeing GmbH, Unterföhring; 9Live Fernsehen GmbH, Unterföhring; Glomex GmbH, München; MAGIC Internet Holding GmbH, Berlin; maxdome GmbH, Unterföhring; P7S1 Erste SBS Holding GmbH, Unterföhring; P7S1 Zweite SBS Holding GmbH, Unterföhring; ProSiebenSat.1 Accelerator GmbH, Unterföhring; ProSiebenSat.1 Achte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Adjacent Holding GmbH, Unterföhring; ProSiebenSat.1 Advertising Platform Solutions GmbH, Unterföhring; ProSiebenSat.1 Applications GmbH, Unterföhring; ProSiebenSat.1 Broadcasting GmbH, Unterföhring; ProSiebenSat.1 Commerce GmbH, Unterföhring; ProSiebenSat.1 Digital & Adjacent GmbH, Unterföhring; ProSiebenSat.1 Digital Entertainment GmbH, Unterföhring; ProSiebenSat.1 Digital GmbH, Unterföhring; ProSiebenSat.1 Erste Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Fünfzehnte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Licensing GmbH, Unterföhring; ProSiebenSat.1 Neunzehnte Verwaltungsgesellschaft mbH, Unterföhring; ProSiebenSat.1 Pay TV GmbH, Unterföhring; ProSiebenSat.1 Produktion GmbH, Unterföhring; ProSiebenSat.1 Services GmbH, Unterföhring; ProSiebenSat.1 Welt GmbH, Unterföhring; ProSieben Travel GmbH, Unterföhring; PSH Entertainment GmbH, Unterföhring; Red Arrow Entertainment Group GmbH, Unterföhring; Red Arrow International GmbH, Unterföhring; RedSeven Entertainment GmbH, Unterföhring; SAM - Starwatch Artist Management GmbH, Unterföhring; Sat. 1 Norddeutschland GmbH, Hannover; SAT.1 Satelliten Fernsehen GmbH, Unterföhring; SevenOne AdFactory GmbH, Unterföhring; SevenOne Brands GmbH, Unterföhring; SevenOne Capital (Holding) GmbH, Unterföhring; SevenOne Investment (Holding) GmbH, Unterföhring; SevenOne Media GmbH, Unterföhring; SevenPictures Film GmbH, Unterföhring; Seven Scores Musikverlag GmbH, Unterföhring; SevenVentures GmbH, Unterföhring; Starwatch Entertainment GmbH, Unterföhring; Sugar Ray GmbH, Unterföhring; TROPO GmbH, Hamburg; tv weiss-blau Rundfunkprogrammanbieter GmbH, Unterföhring; wer-weiss-was GmbH, Unterföhring; wetter.com GmbH, Konstanz";"Thu Jul 16 04:18:17 2020";"";"";"";"";"";"";""
