"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"12.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2eb7d6d0bfa8cec4";"12976";"Wed Jul  8 22:34:44 2020"
"TÜV NORD SafetyConsult GmbH & Co. KG Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 TÜV NORD AG (Hannover)";"06.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"64bf06bd2dbef261";"12976";"Wed Jul  8 22:34:44 2020"
"TÜV NORD AG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.12.2019";"0d747c0b2dd5781887ce3d83356491d9";"64bf06bd2dbef261";"12976";"Wed Jul  8 22:34:44 2020";"";""
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dfd952fb3805eb4c";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d65bdb065ab1fca4";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"37606b908b6230c2";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e7ed5374c3ff12e8";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.07.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bbc1bb5d8230d1e0";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult GmbH (vormals: Safety Consult Objekt- und Sicherheitskennzeichnung GmbH) Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.05.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a57c6abc563078e1";"12976";"Wed Jul  8 22:34:44 2020"
"SafetyConsult Objekt- und Sicherheitskennzeichnung GmbH Kelkheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"22.10.2007";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f5768cea80d10ef9";"12976";"Wed Jul  8 22:34:44 2020"
"TÜV NORD AG Hannover";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.12.2019";"50%";"0d747c0b2dd5781887ce3d83356491d9";"95a100b3238a6a7b";"12976";"Wed Jul  8 22:34:44 2020"
"adapt engineering GmbH & Co. KG, Nordhausen; DMT Engineering Surveying GmbH & Co.KG, Herne; DMT GmbH & Co. KG, Essen; DMT Petrologic GmbH & Co. KG, Hannover; ENCOS GmbH & Co. KG, Hamburg; FS FAHRZEUG-SERVICE GMBH & CO. KG, Hannover; GWQ GmbH & Co. KG, Moers; Ingenieurbüro Hofmann GmbH & Co. KG, Bamberg; MEDITÜV GmbH & Co. KG - Unternehmensgruppe TÜV NORD, Hannover; Nord-Kurs GmbH & Co. KG, Hamburg; TÜ-Service Anlagentechnik GmbH & Co. KG, Potsdam; TÜ Service Ingenieurgesellschaft mbH & Co. KG, Potsdam; TÜV NORD Akademie GmbH & Co. KG, Hamburg; TÜV NORD EnSys GmbH & Co. KG, Hamburg; TÜV NORD Immobilien GmbH & Co. KG, Essen; TÜV NORD InfraChem GmbH & Co. KG, Marl; TÜV NORD International GmbH & Co. KG, Essen; TÜV NORD Mobilität GmbH & Co. KG, Hannover; TÜV NORD MPA Gesellschaft für Materialprüfung und Anlagensicherheit mbH & Co. KG, Leuna; TÜV NORD NC GmbH & Co. KG, Hannover; TÜV NORD SafetyConsult GmbH & Co. KG, Hannover; TÜV NORD Service GmbH & Co. KG, Hannover; TÜV NORD Systems GmbH & Co. KG, Hamburg; TÜV NORD Technisches Schulungszentrum GmbH & Co. KG., Hamburg; TÜV NORD Transfer GmbH & Co. KG, Essen; TÜV NORD Umweltschutz GmbH & Co. KG, Hamburg; TÜV Thüringen Anlagentechnik GmbH & Co. KG, Erfurt; TÜV Thüringen Fahrzeug GmbH & Co. KG, Erfurt";"Wed Jul  8 22:34:44 2020";"";"";"";"";"";"";""
